,Purchased,Do_Not_Call,Last_Activity,Do_Not_Email,Origin,matters_most,Current_Occupation ,about_Us,Specialization,Country,TotalVisits,Total Time Spent on Website,Page Views Per Visit
0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,8.0,1.0,24.0,0.0,0,0.0
1,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,5.0,674,2.5
2,1.0,0.0,5.0,0.0,1.0,0.0,3.0,9.0,1.0,12.0,2.0,1532,2.0
3,0.0,0.0,13.0,0.0,1.0,0.0,4.0,8.0,11.0,12.0,1.0,305,1.0
4,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,18.0,12.0,2.0,1428,1.0
5,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
6,1.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,16.0,12.0,2.0,1640,2.0
7,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
8,0.0,0.0,5.0,0.0,1.0,3.0,6.0,9.0,8.0,12.0,2.0,71,2.0
9,0.0,0.0,5.0,0.0,0.0,3.0,6.0,8.0,4.0,12.0,4.0,58,4.0
10,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,17.0,12.0,8.0,1351,8.0
11,1.0,0.0,10.0,0.0,1.0,0.0,4.0,9.0,7.0,12.0,8.0,1343,2.67
12,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,10.0,12.0,11.0,1538,11.0
13,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,1.0,12.0,5.0,170,5.0
14,0.0,0.0,2.0,1.0,1.0,0.0,4.0,9.0,1.0,24.0,1.0,481,1.0
15,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,6.0,1012,6.0
16,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
17,0.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,6.0,973,6.0
18,1.0,0.0,10.0,0.0,1.0,0.0,4.0,2.0,10.0,12.0,6.0,1688,3.0
19,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,98,3.0
20,0.0,0.0,13.0,0.0,1.0,0.0,4.0,3.0,11.0,12.0,1.0,233,1.0
21,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,4.0,377,1.33
22,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,12.0,1.0,1013,1.0
23,0.0,0.0,3.0,0.0,1.0,0.0,4.0,7.0,4.0,12.0,4.0,771,4.0
24,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,10.0,12.0,6.0,1137,1.5
25,1.0,0.0,7.0,0.0,1.0,0.0,4.0,4.0,17.0,12.0,3.0,1068,3.0
26,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,4.0,1000,2.0
27,1.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,11.0,12.0,6.0,1315,6.0
28,0.0,0.0,5.0,0.0,1.0,0.0,3.0,9.0,18.0,12.0,5.0,182,5.0
29,1.0,0.0,13.0,0.0,0.0,0.0,4.0,9.0,9.0,12.0,3.0,78,3.0
30,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,7.0,12.0,7.0,1174,3.5
31,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,88,1.5
32,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,4.0,223,2.0
33,0.0,0.0,5.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,3.0,74,1.5
34,1.0,0.0,10.0,0.0,1.0,0.0,4.0,9.0,3.0,12.0,4.0,16,2.0
35,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,7.0,12.0,3.0,98,3.0
36,0.0,0.0,13.0,0.0,1.0,0.0,4.0,8.0,12.0,12.0,4.0,1622,4.0
37,1.0,0.0,5.0,0.0,1.0,0.0,5.0,7.0,4.0,12.0,5.0,563,5.0
38,0.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,310,2.0
39,1.0,0.0,5.0,0.0,1.0,0.0,4.0,1.0,12.0,12.0,4.0,25,4.0
40,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,342,3.0
41,0.0,0.0,14.0,1.0,1.0,0.0,4.0,8.0,13.0,12.0,7.0,38,7.0
42,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,5.0,199,5.0
43,0.0,0.0,5.0,0.0,1.0,3.0,6.0,3.0,4.0,12.0,5.0,222,5.0
44,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,12.0,12.0,6.0,275,3.0
45,0.0,0.0,5.0,0.0,1.0,0.0,4.0,4.0,10.0,12.0,4.0,287,2.0
46,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,2.0,547,2.0
47,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
48,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,16.0,12.0,6.0,1225,6.0
49,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
50,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
51,0.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,1.0,12.0,5.0,160,5.0
52,0.0,0.0,13.0,0.0,1.0,0.0,4.0,9.0,3.0,12.0,6.0,394,2.0
53,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,6.0,286,1.5
54,0.0,0.0,5.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,7.0,96,2.33
55,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,12,2.0
56,1.0,0.0,7.0,0.0,1.0,0.0,4.0,3.0,8.0,12.0,13.0,436,13.0
57,1.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,4.0,12.0,8.0,903,8.0
58,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,7.0,12.0,17.0,409,8.5
59,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,15.0,12.0,11.0,685,5.5
60,0.0,0.0,7.0,0.0,0.0,0.0,4.0,2.0,9.0,12.0,4.0,213,4.0
61,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
62,1.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,10.0,12.0,7.0,1468,3.5
63,0.0,0.0,3.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
64,1.0,0.0,5.0,0.0,1.0,0.0,5.0,9.0,12.0,12.0,4.0,1435,4.0
65,1.0,0.0,1.0,0.0,1.0,0.0,4.0,8.0,6.0,12.0,1.0,157,1.0
66,1.0,0.0,8.0,0.0,0.0,0.0,4.0,9.0,12.0,12.0,3.0,885,1.5
67,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
68,0.0,0.0,15.0,0.0,0.0,0.0,4.0,9.0,4.0,37.0,0.0,0,0.0
69,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
70,0.0,0.0,1.0,0.0,1.0,0.0,4.0,9.0,13.0,12.0,1.0,1710,1.0
71,0.0,0.0,5.0,0.0,1.0,0.0,4.0,8.0,1.0,12.0,4.0,219,4.0
72,0.0,0.0,2.0,1.0,1.0,0.0,4.0,9.0,9.0,12.0,3.0,111,3.0
73,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,6.0,224,6.0
74,0.0,0.0,10.0,0.0,1.0,3.0,6.0,9.0,12.0,12.0,5.0,224,1.67
75,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,10.0,12.0,2.0,1071,2.0
76,1.0,0.0,5.0,0.0,1.0,0.0,5.0,8.0,0.0,12.0,6.0,595,3.0
77,1.0,0.0,17.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,1096,0.0
78,0.0,0.0,5.0,0.0,0.0,0.0,4.0,7.0,12.0,12.0,4.0,520,4.0
79,1.0,0.0,17.0,0.0,2.0,0.0,5.0,9.0,6.0,37.0,0.0,705,0.0
80,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,393,2.0
81,1.0,0.0,17.0,0.0,2.0,0.0,4.0,9.0,18.0,37.0,0.0,346,0.0
82,1.0,0.0,3.0,0.0,0.0,0.0,5.0,9.0,12.0,37.0,0.0,0,0.0
83,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,37.0,0.0,0,0.0
84,1.0,0.0,10.0,0.0,1.0,0.0,4.0,4.0,8.0,12.0,3.0,1136,3.0
85,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,335,3.0
86,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,4.0,75,4.0
87,0.0,0.0,5.0,0.0,1.0,3.0,6.0,9.0,16.0,16.0,6.0,97,3.0
88,1.0,0.0,17.0,0.0,2.0,0.0,4.0,9.0,7.0,37.0,0.0,1007,0.0
89,0.0,0.0,1.0,0.0,1.0,0.0,4.0,9.0,14.0,12.0,2.0,1085,2.0
90,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,214,3.0
91,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,1.0,12.0,6.0,1158,1.5
92,0.0,0.0,5.0,0.0,1.0,3.0,6.0,4.0,4.0,12.0,4.0,101,4.0
93,0.0,0.0,5.0,0.0,1.0,3.0,6.0,8.0,5.0,12.0,9.0,838,4.5
94,0.0,0.0,13.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,3.0,536,3.0
95,0.0,0.0,13.0,0.0,1.0,0.0,4.0,9.0,10.0,12.0,4.0,161,2.0
96,0.0,0.0,7.0,0.0,1.0,0.0,4.0,7.0,5.0,12.0,2.0,511,2.0
97,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
98,1.0,0.0,9.0,0.0,0.0,0.0,5.0,9.0,7.0,12.0,5.0,1110,5.0
99,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,5.0,1563,5.0
100,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,7.0,1633,3.5
101,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,37.0,0.0,0,0.0
102,0.0,0.0,13.0,0.0,1.0,3.0,6.0,3.0,4.0,12.0,12.0,809,4.0
103,0.0,0.0,10.0,0.0,1.0,0.0,4.0,9.0,5.0,21.0,2.0,638,2.0
104,1.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,5.0,1196,5.0
105,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,16.0,12.0,6.0,1485,6.0
106,0.0,0.0,10.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,9.0,125,3.0
107,1.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,165,3.0
108,0.0,0.0,9.0,0.0,1.0,3.0,6.0,7.0,3.0,12.0,6.0,398,3.0
109,0.0,0.0,1.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,3.0,570,3.0
110,1.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,12.0,12.0,6.0,895,6.0
111,1.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,7.0,12.0,4.0,1190,4.0
112,1.0,0.0,3.0,0.0,2.0,0.0,5.0,9.0,1.0,37.0,0.0,0,0.0
113,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,5.0,1566,5.0
114,1.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,5.0,727,5.0
115,0.0,0.0,13.0,0.0,1.0,0.0,4.0,4.0,6.0,12.0,8.0,652,4.0
116,0.0,0.0,5.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,4.0,1248,1.33
117,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,767,2.0
118,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,10.0,275,3.33
119,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,273,3.0
120,1.0,0.0,17.0,0.0,2.0,0.0,5.0,9.0,10.0,37.0,0.0,1111,0.0
121,0.0,0.0,5.0,0.0,1.0,3.0,6.0,3.0,4.0,12.0,8.0,277,4.0
122,1.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,3.0,1207,1.5
123,0.0,0.0,1.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,2.0,39,1.0
124,0.0,0.0,5.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,4.0,1638,4.0
125,0.0,0.0,9.0,0.0,0.0,3.0,6.0,9.0,18.0,12.0,16.0,53,16.0
126,0.0,0.0,1.0,0.0,1.0,0.0,4.0,9.0,4.0,12.0,1.0,127,1.0
127,0.0,0.0,10.0,1.0,1.0,0.0,4.0,9.0,16.0,12.0,5.0,100,5.0
128,0.0,0.0,14.0,1.0,1.0,3.0,6.0,2.0,9.0,12.0,4.0,323,4.0
129,1.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,160,1.0
130,1.0,0.0,5.0,0.0,2.0,0.0,0.0,9.0,10.0,37.0,0.0,0,0.0
131,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,1.0,263,1.0
132,0.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,18.0,12.0,2.0,1218,2.0
